numero,variable,region,surprisal
1,1_N_Head,1,5.280546836539927
1,1_N_Head,2,11.752577153808812
1,1_N_Head,3,16.04959494805271
1,1_N_Head,4,17.49319668324232
1,1_N_Head,5,2.7512700757638715
1,1_N_Head,6,9.243545987916079
1,1_N_Head,7,24.192748467789112
1,1_N_Head,8,15.742919519671275
1,0_Head,1,3.191460554748903
1,0_Head,2,9.342753195803892
1,0_Head,3,16.408538716922084
1,0_Head,4,15.156888823145586
1,0_Head,5,2.7941345785270837
1,0_Head,6,9.662176823766382
1,0_Head,7,21.033161376499194
1,0_Head,8,16.841025195037837
1,2_Head,1,3.981847713096553
1,2_Head,2,12.038677933758906
1,2_Head,3,17.685949264200207
1,2_Head,4,16.71329504086968
1,2_Head,5,8.023028214958742
1,2_Head,6,11.132712115408859
1,2_Head,7,21.193246257978554
1,2_Head,8,16.298652287585195
1,1_G_Head,1,2.5517813349359484
1,1_G_Head,2,9.098068633767683
1,1_G_Head,3,17.15455675302388
1,1_G_Head,4,14.81912809053802
1,1_G_Head,5,8.204303837099392
1,1_G_Head,6,12.365943652173172
1,1_G_Head,7,19.2296450135112
1,1_G_Head,8,16.743061999158193
1,2_Head,1,4.144254565337678
1,2_Head,2,10.931198437609101
1,2_Head,3,14.892067324776185
1,2_Head,4,17.425697632467827
1,2_Head,5,2.895396767708191
1,2_Head,6,9.43205378586325
1,2_Head,7,21.20204257993507
1,2_Head,8,16.235162315943125
1,1_G_Head,1,3.061583545810719
1,1_G_Head,2,9.469441018291855
1,1_G_Head,3,16.408538716922084
1,1_G_Head,4,15.140368157204993
1,1_G_Head,5,2.8363179274346884
1,1_G_Head,6,9.331801879318347
1,1_G_Head,7,20.965452885287135
1,1_G_Head,8,16.995940734138618
1,1_N_Head,1,3.264968787069812
1,1_N_Head,2,11.165490372166952
1,1_N_Head,3,14.72105023158598
1,1_N_Head,4,15.615598816797016
1,1_N_Head,5,8.078700294903244
1,1_N_Head,6,12.205342101541905
1,1_N_Head,7,20.061189096274855
1,1_N_Head,8,16.381587050796725
1,0_Head,1,2.5375228149044418
1,0_Head,2,8.954448286973829
1,0_Head,3,17.15455675302388
1,0_Head,4,14.672742456397307
1,0_Head,5,8.19881542978334
1,0_Head,6,12.286691105717743
1,0_Head,7,19.337602714129957
1,0_Head,8,16.75211665961878
1,0_Head,1,3.2719059377742923
1,0_Head,2,10.388587114244629
1,0_Head,3,15.160406457240477
1,0_Head,4,14.738821276024204
1,0_Head,5,11.120356833021962
1,0_Head,6,15.784544022766132
1,0_Head,7,21.617455258188592
1,0_Head,8,17.232646379112307
1,1_N_Head,1,2.5459265418111205
1,1_N_Head,2,9.263489991009367
1,1_N_Head,3,14.49033467617476
1,1_N_Head,4,14.946181975522782
1,1_N_Head,5,11.285420854915172
1,1_N_Head,6,16.120784347874235
1,1_N_Head,7,21.13770535090833
1,1_N_Head,8,17.869867344168195
1,1_G_Head,1,3.9544091277409996
1,1_G_Head,2,9.847129686763889
1,1_G_Head,3,16.41300472126399
1,1_G_Head,4,15.661736812785298
1,1_G_Head,5,22.467326374011677
1,1_G_Head,6,12.629619488605053
1,1_G_Head,7,21.999047186856032
1,1_G_Head,8,17.209704705231545
1,2_Head,1,2.5409384103983825
1,2_Head,2,10.633587198560956
1,2_Head,3,12.832535147427356
1,2_Head,4,15.985346761671677
1,2_Head,5,23.10380998814896
1,2_Head,6,12.880072128963048
1,2_Head,7,23.493575460776107
1,2_Head,8,17.037401189234412
1,1_G_Head,1,3.7759467894464263
1,1_G_Head,2,10.331432979504221
1,1_G_Head,3,15.160406457240477
1,1_G_Head,4,14.619354381076278
