numexp;mismatch;variable;1;2;3;4;5;6;7;8
1;1_N_;Head;C';est;l' étudiant  ;que;la voix;de l' orateur ;endort;depuis le début  .
1;0_;Head;C';est;les étudiants;que;la voix;de l' orateur ;endort;depuis le début  .
1;2_;Head;C';est;l' étudiant  ;que;le bruit;de l' orateur ;endort;depuis le début  .
1;1_G_;Head;C';est;les étudiants;que;le bruit;de l' orateur ;endort;depuis le début  .
1;2_;Head;C';est;l'étudiante;que;la voix;de l' orateur ;endort;depuis le début  .
1;1_G_;Head;C';est;les étudiantes;que;la voix;de l' orateur ;endort;depuis le début  .
1;1_N_;Head;C';est;l'étudiante;que;le bruit;de l' orateur ;endort;depuis le début  .
1;0_;Head;C';est;les étudiantes;que;le bruit;de l' orateur ;endort;depuis le début  .
1;0_;Head;C';est;l'étudiant;que;les musiques;de l' orateur ;endorment;depuis le début  .
1;1_N_;Head;C';est;les étudiants;que;les musiques;de l' orateur ;endorment;depuis le début  .
1;1_G_;Head;C';est;l'étudiant;que;les bruites;de l' orateur ;endorment;depuis le début  .
1;2_;Head;C';est;les étudiants;que;les bruites;de l' orateur ;endorment;depuis le début  .
1;1_G_;Head;C';est;l'étudiante;que;les musiques;de l' orateur ;endorment;depuis le début  .
1;2_;Head;C';est;les étudiantes;que;les musiques;de l' orateur ;endorment;depuis le début  .
1;0_;Head;C';est;l'étudiante;que;les bruites;de l' orateur ;endorment;depuis le début  .
1;1_N_;Head;C';est;les étudiantes;que;les bruites;de l' orateur ;endorment;depuis le début  .
1;2_;Embedd;C';est;l'étudiant;que;la voix;de l' orateur ;endort;depuis le début  .
1;1_G_;Embedd;C';est;les étudiants;que;la voix;de l' orateur ;endort;depuis le début  .
1;1_N_;Embedd;C';est;l'étudiant;que;la voix;de la presentratrice;endort;depuis le début  .
1;0_;Embedd;C';est;les étudiants;que;la voix;de la presentratrice;endort;depuis le début  .
1;1_N_;Embedd;C';est;l'étudiante;que;la voix;de l' orateur ;endort;depuis le début  .
1;0_;Embedd;C';est;les étudiantes;que;la voix;de l' orateur ;endort;depuis le début  .
1;2_;Embedd;C';est;l'étudiante;que;la voix;de la presentratrice;endort;depuis le début  .
1;1_G_;Embedd;C';est;les étudiantes;que;la voix;de la presentratrice;endort;depuis le début  .
