numexp;mismatch;variable;1;2;3;4;5;6;7;8
1;0_;NoMM;C';est;l' étudiant  ;que ;l' orateur ;endort;sérieusement;depuis le début  .
1;0_;NoMM;C';est;les étudiants;que ;les orateurs;endorment;sérieusement;depuis le début  .
1;0_;NoMM;C';est;lui;que ;il;endort;sérieusement;depuis le début  .
1;0_;NoMM;C';est;eux;que ;ils;endorment;sérieusement;depuis le début  .
1;1_;typ;C';est;l' étudiant  ;que ;il;endort;sérieusement;depuis le début  .
1;1_;typ;C';est;lui;que ;l'orateur;endort;sérieusement;depuis le début  .
1;1_;typ;C';est;eux;que ;les orateurs;endorment;sérieusement;depuis le début  .
1;1_;typ;C';est;les étudiants;que ;ils;endorment;sérieusement;depuis le début  .
1;1_;per;C';est;moi;que;il;endort;sérieusement;depuis le début  .
1;1_;per;C';est;lui;que;je;endorme;sérieusement;depuis le début  .
1;1_;per;C';est;nous;que;ils;endorment;sérieusement;depuis le début  .
1;1_;per;C';est;eux;que ;nous;endormons;sérieusement;depuis le début  .
1;1_;num;C';est;l' étudiant  ;que ;les orateurs;endorment;sérieusement;depuis le début  .
1;1_;num;C';est;les étudiants;que ;l'orateur;endort;sérieusement;depuis le début  .
1;1_;num;C';est;lui;que ;ils;endorment;sérieusement;depuis le début  .
1;1_;num;C';est;eux;que ;il;endort;sérieusement;depuis le début  .
1;1_;gen;C';est;l'étudiant;que ;l'oratrice;endort;sérieusement;depuis le début  .
1;1_;gen;C';est;l'étudiante;que ;l'orateur;endort;sérieusement;depuis le début  .
1;1_;gen;C';est;lui;que ;elle;endort;sérieusement;depuis le début  .
1;1_;gen;C';est;elle;que ;il;endort;sérieusement;depuis le début  .
1;2_;Typ+Num;C';est;l' étudiant  ;que ;ils;endorment;sérieusement;depuis le début  .
1;2_;Typ+Num;C';est;lui;que ;les orateurs;endorment;sérieusement;depuis le début  .
1;2_;Typ+Num;C';est;eux;que ;l'orateur;endort;sérieusement;depuis le début  .
1;2_;Typ+Num;C';est;les étudiants;que ;il;endort;sérieusement;depuis le début  .
1;2_;Typ+Per;C';est;moi;que ;l'orateur;endort;sérieusement;depuis le début  .
1;2_;Typ+Per;C';est;l' étudiant  ;que ;je;endorme;sérieusement;depuis le début  .
1;2_;Typ+Per;C';est;les étudiants;que ;nous;endormons;sérieusement;depuis le début  .
1;2_;Typ+Per;C';est;nous;que ;les orateurs;endorment;sérieusement;depuis le début  .
1;2_;Typ+Gen;C';est;l'étudiant;que ;elle;endort;sérieusement;depuis le début  .
1;2_;Typ+Gen;C';est;l'étudiante;que ;il;endort;sérieusement;depuis le début  .
