numexp;mismatch;variable;1;2;3;4;5;6;7;8
1;0_;NoMM;C';est;l' orateur ;qui;endort;l' étudiant  ;sérieusement;depuis le début  .
1;0_;NoMM;C';est;les orateurs;qui;endorment;les étudiants;sérieusement;depuis le début  .
1;0_;NoMM;C';est;il;qui;endort;lui;sérieusement;depuis le début  .
1;0_;NoMM;C';est;ils;qui;endorment;eux;sérieusement;depuis le début  .
1;1_;typ;C';est;il;qui;endort;l' étudiant  ;sérieusement;depuis le début  .
1;1_;typ;C';est;l'orateur;qui;endort;lui;sérieusement;depuis le début  .
1;1_;typ;C';est;les orateurs;qui;endorment;eux;sérieusement;depuis le début  .
1;1_;typ;C';est;ils;qui;endorment;les étudiants;sérieusement;depuis le début  .
1;1_;per;C';est;il;qui;endort;moi;sérieusement;depuis le début  .
1;1_;per;C';est;je;qui;endorme;lui;sérieusement;depuis le début  .
1;1_;per;C';est;ils;qui;endorment;nous;sérieusement;depuis le début  .
1;1_;per;C';est;nous;qui;endormons;eux;sérieusement;depuis le début  .
1;1_;num;C';est;les orateurs;qui;endorment;l' étudiant  ;sérieusement;depuis le début  .
1;1_;num;C';est;l'orateur;qui;endort;les étudiants;sérieusement;depuis le début  .
1;1_;num;C';est;ils;qui;endorment;lui;sérieusement;depuis le début  .
1;1_;num;C';est;il;qui;endort;eux;sérieusement;depuis le début  .
1;1_;gen;C';est;l'oratrice;qui;endort;l'étudiant;sérieusement;depuis le début  .
1;1_;gen;C';est;l'orateur;qui;endort;l'étudiante;sérieusement;depuis le début  .
1;1_;gen;C';est;elle;qui;endort;lui;sérieusement;depuis le début  .
1;1_;gen;C';est;il;qui;endort;elle;sérieusement;depuis le début  .
1;2_;Typ+Num;C';est;ils;qui;endorment;l' étudiant  ;sérieusement;depuis le début  .
1;2_;Typ+Num;C';est;les orateurs;qui;endorment;lui;sérieusement;depuis le début  .
1;2_;Typ+Num;C';est;l'orateur;qui;endort;eux;sérieusement;depuis le début  .
1;2_;Typ+Num;C';est;il;qui;endort;les étudiants;sérieusement;depuis le début  .
1;2_;Typ+Per;C';est;l'orateur;qui;endort;moi;sérieusement;depuis le début  .
1;2_;Typ+Per;C';est;je;qui;endorme;l' étudiant  ;sérieusement;depuis le début  .
1;2_;Typ+Per;C';est;nous;qui;endormons;les étudiants;sérieusement;depuis le début  .
1;2_;Typ+Per;C';est;les orateurs;qui;endorment;nous;sérieusement;depuis le début  .
1;2_;Typ+Gen;C';est;elle;qui;endort;l'étudiant;sérieusement;depuis le début  .
1;2_;Typ+Gen;C';est;il;qui;endort;l'étudiante;sérieusement;depuis le début  .
1;2_;Typ+Gen;C';est;l'oratrice;qui;endort;lui;sérieusement;depuis le début  .
1;2_;Typ+Gen;C';est;l'orateur;qui;endort;elle;sérieusement;depuis le début  .
1;2_;Num+Gen;C';est;les orateurs;qui;endorment;l'étudiante;sérieusement;depuis le début  .
1;2_;Num+Gen;C';est;ils;qui;endorment;elle;sérieusement;depuis le début  .
1;2_;Num+Gen;C';est;les oratrices;qui;endorment;l'étudiant;sérieusement;depuis le début  .
1;2_;Num+Gen;C';est;elles;qui;endorment;eux;sérieusement;depuis le début  .
1;2_;Num + Per;C';est;ils;qui;endorment;moi;sérieusement;depuis le début  .
1;2_;Num + Per;C';est;je;qui;endorme;eux;sérieusement;depuis le début  .
1;2_;Num + Per;C';est;nous;qui;endormons;lui;sérieusement;depuis le début  .
1;2_;Num + Per;C';est;il;qui;endort;nous;sérieusement;depuis le début  .
1;3_;Typ+Num+Per;C';est;l'orateur;qui;endort;nous;sérieusement;depuis le début  .
1;3_;Typ+Num+Per;C';est;nous;qui;endormons;l' étudiant  ;sérieusement;depuis le début  .
1;3_;Typ+Num+Per;C';est;les orateurs;qui;endorment;moi;sérieusement;depuis le début  .
1;3_;Typ+Num+Per;C';est;je;qui;endorme;les étudiants;sérieusement;depuis le début  .
1;3_;Typ+Num+Gen;C';est;les orateurs;qui;endorment;elle;sérieusement;depuis le début  .
1;3_;Typ+Num+Gen;C';est;il;qui;endort;les étudiantes;sérieusement;depuis le début  .
1;3_;Typ+Num+Gen;C';est;les oratrices;qui;endorment;lui;sérieusement;depuis le début  .
1;3_;Typ+Num+Gen;C';est;ils;qui;endorment;l'étudiante;sérieusement;depuis le début  .
2;0_;NoMM;C';est;le politicien;qui;déçoit;l' électeur ;franchement; depuis les élections .
2;0_;NoMM;C';est;les politiciens;qui;déçoivent;les électeurs;franchement; depuis les élections .
2;0_;NoMM;C';est;il;qui;déçoit;lui;franchement; depuis les élections .
2;0_;NoMM;C';est;ils;qui;déçoivent;eux;franchement; depuis les élections .
2;1_;typ;C';est;il;qui;déçoit;l' électeur ;franchement; depuis les élections .
2;1_;typ;C';est;le politicien;qui;déçoit;lui;franchement; depuis les élections .
2;1_;typ;C';est;les politiciens;qui;déçoivent;eux;franchement; depuis les élections .
2;1_;typ;C';est;ils;qui;déçoivent;les électeurs;franchement; depuis les élections .
2;1_;num;C';est;les politiciens;qui;déçoivent;l' électeur ;franchement; depuis les élections .
2;1_;num;C';est;le politicien;qui;déçoit;les électeurs;franchement; depuis les élections .
2;1_;num;C';est;ils;qui;déçoivent;lui;franchement; depuis les élections .
2;1_;num;C';est;il;qui;déçoit;eux;franchement; depuis les élections .
2;1_;per;C';est;il;qui;déçoit;moi;franchement; depuis les élections .
2;1_;per;C';est;je;qui;déçois;lui;franchement; depuis les élections .
2;1_;per;C';est;ils;qui;déçoivent;nous;franchement; depuis les élections .
2;1_;per;C';est;nous;qui;décevons;eux;franchement; depuis les élections .
